immig_status,age,total_pop,medicaid,medicaid_rate
Native-born,85,856275,134664,0.15726723307348692
Native-born,86,760146,116663,0.15347446411610402
Native-born,87,661704,108243,0.163582205941025
Native-born,88,575845,93066,0.16161640719290782
Native-born,89,443515,81826,0.18449432375455171
Native-born,90,290041,55136,0.19009726211121875
Native-born,91,104425,19043,0.18236054584630118
Native-born,92,232753,43097,0.1851619527997491
Native-born,93,355759,74236,0.20866935200514955
Native-born,94,651429,121521,0.18654527200968946
Native-born,95,400354,84813,0.21184501715981358
Native-born,96,11211,2664,0.2376237623762376
Naturalized citizen,0,9003,3228,0.3585471509496834
Naturalized citizen,1,7656,3755,0.4904649947753396
Naturalized citizen,2,11388,4669,0.4099929750614682
Naturalized citizen,3,12690,3384,0.26666666666666666
Naturalized citizen,4,11731,4803,0.40942801125223766
Naturalized citizen,5,15185,9275,0.6108001317089233
Naturalized citizen,6,15839,9509,0.6003535576740956
Naturalized citizen,7,25886,10613,0.409989955960751
Naturalized citizen,8,31776,15658,0.4927618328298087
Naturalized citizen,9,31544,15257,0.4836735987826528
Naturalized citizen,10,33634,13946,0.4146399476719986
Naturalized citizen,11,50417,25756,0.5108594323343316
Naturalized citizen,12,51597,21922,0.4248696629649011
Naturalized citizen,13,62877,26756,0.42552920781843917
Naturalized citizen,14,67938,27105,0.3989667049368542
Naturalized citizen,15,75624,31925,0.4221543425367608
Naturalized citizen,16,86769,31246,0.3601055676566516
Naturalized citizen,17,90724,34235,0.377353291301089
Naturalized citizen,18,105559,36231,0.34322985249955
Naturalized citizen,19,114923,29224,0.25429200421151554
Naturalized citizen,20,109872,27405,0.24942660550458715
Naturalized citizen,21,118927,30907,0.25988211255644217
Naturalized citizen,22,136383,34746,0.25476782296913836
Naturalized citizen,23,131783,27910,0.21178755985218123
Naturalized citizen,24,164353,34144,0.2077479571410318
Naturalized citizen,25,179604,35643,0.19845326384713036
Naturalized citizen,26,183084,37529,0.20498241244456097
Naturalized citizen,27,210119,38100,0.18132582013049747
Naturalized citizen,28,213257,38498,0.18052396873256213
Naturalized citizen,29,209589,35613,0.16991826861142523
Naturalized citizen,30,234896,44083,0.18767028812751174
Naturalized citizen,31,261319,43418,0.1661494189094555
Naturalized citizen,32,266712,49252,0.18466360718677824
Naturalized citizen,33,307872,49845,0.161901699407546
Naturalized citizen,34,329442,55327,0.16794154965062136
Naturalized citizen,35,347202,60181,0.17333137481926947
Naturalized citizen,36,381568,62265,0.16318192301241194
Naturalized citizen,37,398649,67657,0.16971571482682762
Naturalized citizen,38,410235,67996,0.16574890002071982
Naturalized citizen,39,434429,71890,0.16548158617403536
Naturalized citizen,40,448294,75047,0.1674057649667406
Naturalized citizen,41,430117,65936,0.15329782361543487
Naturalized citizen,42,480403,78739,0.16390197396768963
Naturalized citizen,43,484298,76300,0.15754762563545585
Naturalized citizen,44,499099,73174,0.14661219517570662
Naturalized citizen,45,492143,67941,0.13805133873691183
Naturalized citizen,46,470785,67579,0.14354535509839947
Naturalized citizen,47,517628,79701,0.15397350993377484
Naturalized citizen,48,533250,74832,0.14033192686357243
Naturalized citizen,49,523241,70935,0.13556850476166815
Naturalized citizen,50,558117,76313,0.13673297892735753
Naturalized citizen,51,536248,70174,0.13086109412063077
Naturalized citizen,52,548505,77767,0.14177992907995368
Naturalized citizen,53,552477,84664,0.15324438845417998
Naturalized citizen,54,554241,82618,0.14906511788193222
Naturalized citizen,55,541097,74686,0.13802700809651505
Naturalized citizen,56,532328,76894,0.1444485354893975
Naturalized citizen,57,541021,77021,0.14236231125963686
Naturalized citizen,58,532124,85641,0.16094181055543444
Naturalized citizen,59,530624,91119,0.171720464962007
Naturalized citizen,60,559151,89729,0.16047364665358732
Naturalized citizen,61,525748,90508,0.17215091640862162
Naturalized citizen,62,513058,92045,0.17940466769838886
Naturalized citizen,63,495559,94836,0.19137176400791833
Naturalized citizen,64,481686,96254,0.1998272733689582
Naturalized citizen,65,464396,85701,0.18454293318633236
Naturalized citizen,66,453584,89645,0.19763704187096548
Naturalized citizen,67,433224,86581,0.19985273207393867
Naturalized citizen,68,433452,93407,0.21549560274263355
Naturalized citizen,69,413300,85598,0.20710863779337044
Naturalized citizen,70,397933,93650,0.23534112526480588
Naturalized citizen,71,369495,85165,0.23049026373834558
Naturalized citizen,72,340411,85007,0.24971872236796108
Naturalized citizen,73,337502,84968,0.251755545152325
Naturalized citizen,74,326662,89633,0.27439065456037126
Naturalized citizen,75,309693,79658,0.25721601715247033
Naturalized citizen,76,308647,84633,0.27420645591889764
Naturalized citizen,77,287743,80634,0.28022923233579966
Naturalized citizen,78,242673,69825,0.2877328751035344
Naturalized citizen,79,221293,64515,0.2915365601261676
Naturalized citizen,80,211016,63109,0.29907210827614966
Naturalized citizen,81,182126,61598,0.3382163996354172
Naturalized citizen,82,181634,58189,0.320364028761135
Naturalized citizen,83,164507,53647,0.326107703623554
Naturalized citizen,84,147636,53069,0.35945839768078247
Naturalized citizen,85,136975,47475,0.34659609417776965
Naturalized citizen,86,125637,45481,0.36200323153211234
Naturalized citizen,87,101891,37712,0.3701210116693329
Naturalized citizen,88,89001,33777,0.3795125897461826
Naturalized citizen,89,73626,26146,0.35511911552984
Naturalized citizen,90,49641,18744,0.3775911041276364
Naturalized citizen,91,20415,7829,0.3834925300024492
Naturalized citizen,92,28186,12819,0.4548002554459661
Naturalized citizen,93,27352,9076,0.33182217022521204
Naturalized citizen,94,98712,40158,0.40681983953318746
Naturalized citizen,95,75316,33989,0.45128525147379045
Naturalized citizen,96,1537,890,0.5790500975927131
Undocumented,0,25064.20575,4550.8785,0.1815688294850516
Undocumented,1,25676.52371875,5465.6741875,0.21286659546941517
Undocumented,2,39472.97846578125,9247.35087453125,0.23427041064427634
Undocumented,3,55575.22017751172,12423.93405140625,0.22355168385699967
Undocumented,4,61130.630934988476,10548.82284423047,0.17256198215014315
Undocumented,5,67309.20340897235,17204.995590755283,0.25561133870827907
Undocumented,6,74268.89634315106,16790.16853095584,0.22607268126590654
Undocumented,7,86530.09298666676,20866.975010663253,0.24115280927617402
Undocumented,8,96405.41862390724,21726.002309624164,0.2253608004585378
Undocumented,9,89220.01823180178,16978.529033375366,0.190299546781795
Undocumented,10,104908.45513771314,21495.416781890686,0.20489689561888688
Undocumented,11,108797.31750068371,23672.555273854374,0.21758399763583886
Undocumented,12,108587.70572494948,22304.97531412718,0.2054097668351631
Undocumented,13,101427.83639349314,18978.783732198623,0.18711612518845133
Undocumented,14,107660.11058964983,28349.987049509007,0.263328607914643
Undocumented,15,107638.45117350982,21483.930198436014,0.1995934534937203
Undocumented,16,118544.32823601505,23331.76457484949,0.1968189024480131
Undocumented,17,122813.72571269723,20261.76129895002,0.16497961592948593
Undocumented,18,153534.696263245,24810.5604290999,0.16159578930980278
Undocumented,19,187471.92911261416,11203.084955061613,0.059758732990537126
Undocumented,20,207783.6012766682,14670.540066555866,0.0706048984444241
Undocumented,21,208370.79433061584,14442.00351558257,0.0693091542026176
Undocumented,22,219840.36680505052,17249.08336861021,0.0784618567522056
Undocumented,23,242643.2543537015,17105.271267105796,0.07049555658436485
Undocumented,24,262626.9776679064,12871.172298867677,0.04900933031770774
Undocumented,25,271623.63828990224,13448.665918724977,0.049512133787013406
Undocumented,26,261268.17797554604,17007.07901055811,0.06509433771207271
Undocumented,27,276205.03068388713,17905.992340472854,0.06482862493900778
Undocumented,28,292423.3930052801,21561.587621386818,0.07373414076006393
Undocumented,29,261138.09140967362,21496.293723617317,0.08231772548989766
Undocumented,30,316419.4444533881,20729.716240264694,0.06551340824226243
Undocumented,31,270275.7116703931,18647.385157868157,0.06899393601674808
Undocumented,32,282900.40508101473,19900.036568846917,0.07034290588289581
Undocumented,33,291623.5229143332,21899.15788071673,0.07509393502234656
