year,immig_status,age,total_pop,medicaid,medicaid_rate
2010,Native-born,88,591191,118698,0.20077775202937798
2010,Native-born,89,413999,79536,0.19211640607827554
2010,Native-born,90,199770,40755,0.20400961105271062
2010,Native-born,91,45037,7798,0.1731465239691809
2010,Native-born,92,330871,84906,0.2566136046979034
2010,Native-born,93,611783,138356,0.22615208333673867
2010,Native-born,94,557568,139731,0.2506079975895317
2010,Native-born,95,40795,10438,0.2558646893001593
2010,Naturalized citizen,0,5758,2475,0.4298367488711358
2010,Naturalized citizen,1,4659,1721,0.36939257351362953
2010,Naturalized citizen,2,7848,1424,0.18144750254842
2010,Naturalized citizen,3,14542,2841,0.19536514922294046
2010,Naturalized citizen,4,20994,3872,0.1844336477088692
2010,Naturalized citizen,5,25236,4878,0.19329529243937232
2010,Naturalized citizen,6,24137,4249,0.17603678999047107
2010,Naturalized citizen,7,25493,5274,0.20688032008786725
2010,Naturalized citizen,8,29044,5829,0.20069549648808704
2010,Naturalized citizen,9,33864,8494,0.2508268367587999
2010,Naturalized citizen,10,31636,7561,0.23899987356176508
2010,Naturalized citizen,11,40262,11210,0.2784263076846654
2010,Naturalized citizen,12,49312,14369,0.2913895197923426
2010,Naturalized citizen,13,49216,14610,0.29685468140442134
2010,Naturalized citizen,14,56430,17262,0.30590111642743223
2010,Naturalized citizen,15,59747,16800,0.2811856662259193
2010,Naturalized citizen,16,64217,20461,0.31862279458710313
2010,Naturalized citizen,17,70247,20454,0.29117257676484404
2010,Naturalized citizen,18,86999,24371,0.28012965666272027
2010,Naturalized citizen,19,87948,13729,0.15610360667667258
2010,Naturalized citizen,20,108214,15533,0.14353965290997467
2010,Naturalized citizen,21,112380,13901,0.12369638725751914
2010,Naturalized citizen,22,126470,13426,0.10615956353285363
2010,Naturalized citizen,23,128986,16423,0.12732389561657853
2010,Naturalized citizen,24,141900,16931,0.11931642001409443
2010,Naturalized citizen,25,162136,15213,0.09382863768688016
2010,Naturalized citizen,26,172331,17017,0.0987460178377657
2010,Naturalized citizen,27,171633,18188,0.10597029708738995
2010,Naturalized citizen,28,181550,22103,0.12174607546130542
2010,Naturalized citizen,29,193379,17258,0.08924443708985981
2010,Naturalized citizen,30,228701,24236,0.10597242688051212
2010,Naturalized citizen,31,223623,22769,0.10181868591334522
2010,Naturalized citizen,32,235613,26760,0.11357607602296987
2010,Naturalized citizen,33,233528,22436,0.09607413243808023
2010,Naturalized citizen,34,250366,26304,0.10506218895536934
2010,Naturalized citizen,35,294314,31663,0.10758237800444423
2010,Naturalized citizen,36,290436,30831,0.1061541957608561
2010,Naturalized citizen,37,314241,31286,0.09956052838426557
2010,Naturalized citizen,38,341946,35162,0.10282910167102408
2010,Naturalized citizen,39,333494,36731,0.11013991256214505
2010,Naturalized citizen,40,371998,30675,0.08246012075333739
2010,Naturalized citizen,41,342927,29681,0.08655194837385216
2010,Naturalized citizen,42,366426,34270,0.09352502278768428
2010,Naturalized citizen,43,370283,34036,0.09191888366465649
2010,Naturalized citizen,44,380536,32948,0.08658313536695608
2010,Naturalized citizen,45,412854,41765,0.10116166974281465
2010,Naturalized citizen,46,401677,35717,0.08891970414039141
2010,Naturalized citizen,47,390285,32576,0.08346720985946167
2010,Naturalized citizen,48,402348,33042,0.0821229383518745
2010,Naturalized citizen,49,386163,34666,0.08977038193716125
2010,Naturalized citizen,50,434743,37412,0.08605543965055217
2010,Naturalized citizen,51,369554,29803,0.08064585960373856
2010,Naturalized citizen,52,368926,30958,0.08391384722139399
2010,Naturalized citizen,53,361487,29105,0.08051465197918597
2010,Naturalized citizen,54,361966,30814,0.08512954255372052
2010,Naturalized citizen,55,378598,36416,0.09618645634683755
2010,Naturalized citizen,56,319824,33136,0.10360698384111261
2010,Naturalized citizen,57,325332,34205,0.10513875056864987
2010,Naturalized citizen,58,306105,29057,0.09492494405514448
2010,Naturalized citizen,59,309176,32251,0.10431275390069086
2010,Naturalized citizen,60,332920,37756,0.11340862669710441
2010,Naturalized citizen,61,296861,37935,0.12778707880118978
2010,Naturalized citizen,62,300417,34940,0.11630500271289575
2010,Naturalized citizen,63,281206,33772,0.12009701073234569
2010,Naturalized citizen,64,258813,33325,0.12876092004652007
2010,Naturalized citizen,65,246226,39845,0.16182287816883675
2010,Naturalized citizen,66,214726,39785,0.1852826392705122
2010,Naturalized citizen,67,212166,43547,0.20524966299972663
2010,Naturalized citizen,68,203843,41260,0.2024106788067287
2010,Naturalized citizen,69,203489,46996,0.23095105877959005
2010,Naturalized citizen,70,209569,45749,0.2183004165692445
2010,Naturalized citizen,71,182076,48249,0.2649937388782706
2010,Naturalized citizen,72,178651,47732,0.26718014452759853
2010,Naturalized citizen,73,172744,52339,0.3029859213634048
2010,Naturalized citizen,74,160797,45711,0.2842776917479804
2010,Naturalized citizen,75,149080,43751,0.2934733029246042
2010,Naturalized citizen,76,139191,40063,0.2878275175837518
2010,Naturalized citizen,77,129518,41863,0.32322148272826945
2010,Naturalized citizen,78,125319,39455,0.3148365371571749
2010,Naturalized citizen,79,112200,34884,0.3109090909090909
2010,Naturalized citizen,80,118277,40850,0.34537568588990253
2010,Naturalized citizen,81,99680,34027,0.3413623595505618
2010,Naturalized citizen,82,104837,35648,0.3400326220704522
2010,Naturalized citizen,83,93613,31869,0.3404334868020467
2010,Naturalized citizen,84,83814,29225,0.3486887632137829
2010,Naturalized citizen,85,79860,28571,0.357763586275983
2010,Naturalized citizen,86,64703,22670,0.3503701528522634
2010,Naturalized citizen,87,65349,21574,0.3301351206598418
2010,Naturalized citizen,88,51508,18965,0.3681952318086511
2010,Naturalized citizen,89,40781,17829,0.4371888869816826
2010,Naturalized citizen,90,19117,7099,0.3713448762881205
2010,Naturalized citizen,91,2734,785,0.2871250914411119
2010,Naturalized citizen,92,16686,6509,0.39008749850173796
2010,Naturalized citizen,93,53215,23420,0.4401014751479846
2010,Naturalized citizen,94,56047,22882,0.40826449230110445
2010,Naturalized citizen,95,2241,794,0.3543061133422579
2010,Undocumented,0,6108.5185,184.19,0.030152974080376444
2010,Undocumented,1,14105.589225,732.823,0.051952668428851115
2010,Undocumented,2,17125.88844796875,330.88829984375,0.019320942142595565
2010,Undocumented,3,19472.051498089844,776.6005687500001,0.03988283252158523
2010,Undocumented,4,33770.795143428615,1963.388146968751,0.05813864135061097
2010,Undocumented,5,31330.952542426596,1523.4208652146317,0.04862350939224404
2010,Undocumented,6,39469.80454900959,2061.1974541746645,0.052222134812329235
2010,Undocumented,7,47196.24429457019,2188.734939619805,0.046375193033561225
2010,Undocumented,8,59445.073777167214,3217.3464479981253,0.05412301211128961
2010,Undocumented,9,73461.79042447064,3733.858786859399,0.050827222768254555
2010,Undocumented,10,83121.41157954307,4061.528959971832,0.048862608114939796
2010,Undocumented,11,87740.2627035346,3087.416319187982,0.03518813625644189
2010,Undocumented,12,105576.2290966492,5681.107492526475,0.05381047932035662
2010,Undocumented,13,103639.95324523556,5105.112228027896,0.049258148698196016
2010,Undocumented,14,110486.34655732395,4852.392366456609,0.043918479682365355
2010,Undocumented,15,119471.2851271775,5409.699482929265,0.04528033223356245
2010,Undocumented,16,139276.27381971682,6120.1876772216565,0.0439427873059255
2010,Undocumented,17,146140.6585935111,5581.508128776985,0.038192712298511663
2010,Undocumented,18,198430.95705482992,3244.077675981321,0.016348647026305105
2010,Undocumented,19,232601.41224142435,0,0
2010,Undocumented,20,268873.5307362545,0,0
2010,Undocumented,21,300406.35292083636,0,0
2010,Undocumented,22,331416.8756374907,0,0
2010,Undocumented,23,326267.5477419624,0,0
2010,Undocumented,24,346753.499572856,0,0
2010,Undocumented,25,386545.0004095341,0,0
2010,Undocumented,26,351099.15976214263,0,0
2010,Undocumented,27,387377.08337347675,0,0
2010,Undocumented,28,373102.356558118,0,0
2010,Undocumented,29,349158.44619452464,0,0
2010,Undocumented,30,435787.0944903896,0,0
2010,Undocumented,31,350716.5266148276,0,0
2010,Undocumented,32,365957.2628090683,0,0
2010,Undocumented,33,340177.5212631484,0,0
2010,Undocumented,34,348115.8167861836,0,0
2010,Undocumented,35,396156.70743861434,0,0
2010,Undocumented,36,338984.7338673099,0,0
2010,Undocumented,37,336923.619742548,0,0
2010,Undocumented,38,336496.66698388767,0,0
2010,Undocumented,39,293872.27891465486,0,0
2010,Undocumented,40,327975.27605261037,0,0
2010,Undocumented,41,263011.9765978362,0,0
2010,Undocumented,42,268785.2951838009,0,0
2010,Undocumented,43,233975.7238351817,0,0
2010,Undocumented,44,222653.8925285734,0,0
2010,Undocumented,45,239046.21148675316,0,0
2010,Undocumented,46,192087.24736601202,0,0
2010,Undocumented,47,187695.72143198492,0,0
2010,Undocumented,48,173353.57346598204,0,0
2010,Undocumented,49,143180.03893548695,0,0
2010,Undocumented,50,162357.20229787048,0,0
2010,Undocumented,51,125094.58501678648,0,0
2010,Undocumented,52,128385.6302233312,0,0
2010,Undocumented,53,114972.31362626291,0,0
2010,Undocumented,54,116802.48517379904,0,0
2010,Undocumented,55,105205.28697133405,0,0
2010,Undocumented,56,93944.63076960485,0,0
2010,Undocumented,57,83061.54575944951,0,0
2010,Undocumented,58,73705.90130877106,0,0
2010,Undocumented,59,69096.55286064597,0,0
2010,Undocumented,60,72786.22405148087,0,0
2010,Undocumented,61,53380.09738952011,0,0
2010,Undocumented,62,52905.88523427312,0,0
2010,Undocumented,63,43804.58980217247,0,0
2010,Undocumented,64,39843.10505294172,0,0
2010,Undocumented,65,34014.16708436402,0,0
2010,Undocumented,66,25291.13647658925,0,0
2010,Undocumented,67,20114.78834688198,0,0
2010,Undocumented,68,20576.680232011848,0,0
2010,Undocumented,69,19818.856964609346,0,0
2010,Undocumented,70,20602.231827968684,0,0
2010,Undocumented,71,13787.793251949215,0,0
2010,Undocumented,72,15686.758469524711,0,0
2010,Undocumented,73,13007.928140454685,0,0
2010,Undocumented,74,12105.475760726024,0,0
2010,Undocumented,75,11855.569459409238,0,0
2010,Undocumented,76,8436.036354682292,0,0
2010,Undocumented,77,6613.62402721389,0,0
2010,Undocumented,78,6218.202387459801,0,0
2010,Undocumented,79,6296.392528001206,0,0
2010,Undocumented,80,6485.935553360106,0,0
2010,Undocumented,81,4778.247834929811,0,0
2010,Undocumented,82,4332.054880772306,0,0
2010,Undocumented,83,3924.6256098971826,0,0
2010,Undocumented,84,5242.255116204582,0,0
2010,Undocumented,85,2015.033626124606,0,0
2010,Undocumented,86,2487.3971783707825,0,0
2010,Undocumented,87,1757.6883704460347,0,0
2010,Undocumented,88,1528.6834482885097,0,0
2010,Undocumented,89,186.969126999143,0,0
2010,Undocumented,90,416.2337720446126,0,0
2010,Undocumented,91,699.6527951452258,0,0
2010,Undocumented,92,2520.514419238824,0,0
2010,Undocumented,93,628.1709531622315,0,0
2010,Undocumented,94,1785.8298426632946,0,0
2011,Legal noncitizen,0,8524,5569,0.6533317691224777
2011,Legal noncitizen,1,20772,7298,0.35133834007317544
2011,Legal noncitizen,2,23480,8476,0.3609880749574106
2011,Legal noncitizen,3,28119,14504,0.5158078167786906
2011,Legal noncitizen,4,32132,17560,0.5464957052159841
2011,Legal noncitizen,5,33632,20114,0.5980613701236918
2011,Legal noncitizen,6,41609,24931,0.5991732557860079
2011,Legal noncitizen,7,43787,25174,0.5749194966542581
2011,Legal noncitizen,8,45568,27365,0.6005310744382022
2011,Legal noncitizen,9,60088,37733,0.6279623219278392
2011,Legal noncitizen,10,64347,43101,0.669821436896825
2011,Legal noncitizen,11,78907,51011,0.6464698949396125
2011,Legal noncitizen,12,86467,55205,0.638451663640464
2011,Legal noncitizen,13,90733,56884,0.6269383796413653
2011,Legal noncitizen,14,86660,52763,0.6088506808216017
2011,Legal noncitizen,15,97542,64744,0.6637551003670213
2011,Legal noncitizen,16,99408,61226,0.6159061644938033
2011,Legal noncitizen,17,97725,59041,0.6041545152212842
2011,Legal noncitizen,18,102432,61741,0.6027510934083099
2011,Legal noncitizen,19,86823,33329,0.38387293689460167
2011,Legal noncitizen,20,119503,39715,0.3323347531024326
2011,Legal noncitizen,21,110216,33635,0.30517347753502216
2011,Legal noncitizen,22,122635,36553,0.2980633587475027
2011,Legal noncitizen,23,125855,31326,0.24890548647252791
2011,Legal noncitizen,24,156213,35359,0.2263511999641515
2011,Legal noncitizen,25,184268,45333,0.24601667136996114
2011,Legal noncitizen,26,193672,45082,0.2327750010326738
2011,Legal noncitizen,27,203337,45996,0.22620575694536657
2011,Legal noncitizen,28,231524,51586,0.22281059415006652
2011,Legal noncitizen,29,236973,45091,0.1902790613276618
2011,Legal noncitizen,30,263806,49915,0.18921101112180921
2011,Legal noncitizen,31,256815,49771,0.1938009851449487
2011,Legal noncitizen,32,262177,48695,0.18573330231103416
2011,Legal noncitizen,33,260883,53452,0.20488878156108295
2011,Legal noncitizen,34,267039,56385,0.21114893330187726
2011,Legal noncitizen,35,285036,59067,0.2072264556056077
2011,Legal noncitizen,36,249340,54584,0.21891393278254592
2011,Legal noncitizen,37,258917,49848,0.19252501766975516
2011,Legal noncitizen,38,258845,56886,0.21976858737854701
2011,Legal noncitizen,39,251120,51537,0.20522857597961133
2011,Legal noncitizen,40,276881,52990,0.19138185718774492
2011,Legal noncitizen,41,234463,48462,0.2066935934454477
2011,Legal noncitizen,42,232925,50967,0.2188129226145755
2011,Legal noncitizen,43,211768,48453,0.22880227418684598
2011,Legal noncitizen,44,215191,45030,0.20925596330701562
2011,Legal noncitizen,45,209390,48846,0.23327761593199292
2011,Legal noncitizen,46,199612,44920,0.22503657094763843
2011,Legal noncitizen,47,190735,38964,0.20428342988963746
2011,Legal noncitizen,48,202472,40677,0.2009018530957367
2011,Legal noncitizen,49,194223,38878,0.2001719672747306
2011,Legal noncitizen,50,200786,41145,0.20491966571374498
2011,Legal noncitizen,51,168956,34530,0.20437273609697199
2011,Legal noncitizen,52,169541,36449,0.2149863454857527
2011,Legal noncitizen,53,157184,31198,0.19848076140065146
2011,Legal noncitizen,54,155505,34256,0.22028873669656923
2011,Legal noncitizen,55,154659,32339,0.20909872687654776
2011,Legal noncitizen,56,145198,31332,0.21578809625476936
2011,Legal noncitizen,57,125708,31142,0.24773284118751393
2011,Legal noncitizen,58,115858,25300,0.21837076421136217
2011,Legal noncitizen,59,110859,25774,0.23249352781461136
2011,Legal noncitizen,60,114169,26226,0.22971209347546181
2011,Legal noncitizen,61,97079,24371,0.2510429650078802
2011,Legal noncitizen,62,102119,25813,0.25277372477207966
2011,Legal noncitizen,63,90890,25728,0.2830674441632743
2011,Legal noncitizen,64,93295,23128,0.24790181681762152
2011,Legal noncitizen,65,91691,29193,0.31838457427664657
2011,Legal noncitizen,66,78448,25636,0.3267897205792372
2011,Legal noncitizen,67,84465,30388,0.3597703190670692
2011,Legal noncitizen,68,79247,30790,0.3885320579958863
2011,Legal noncitizen,69,72044,25466,0.353478429848426
2011,Legal noncitizen,70,74040,29017,0.39190977849810915
2011,Legal noncitizen,71,65572,28330,0.4320441651924602
2011,Legal noncitizen,72,57643,23754,0.41208819804659713
2011,Legal noncitizen,73,57274,22246,0.38841359080909316
2011,Legal noncitizen,74,50581,21951,0.43397718510903305
2011,Legal noncitizen,75,49811,22511,0.4519282889321636
2011,Legal noncitizen,76,44093,18855,0.42761889642346856
2011,Legal noncitizen,77,41330,18560,0.4490684732639729
2011,Legal noncitizen,78,42866,20486,0.4779078990341996
2011,Legal noncitizen,79,35079,17005,0.4847629635964537
2011,Legal noncitizen,80,33577,13995,0.4168031688358102
2011,Legal noncitizen,81,30166,15374,0.5096466220247962
2011,Legal noncitizen,82,25023,14020,0.5602845382248332
2011,Legal noncitizen,83,23365,11854,0.5073400385191525
2011,Legal noncitizen,84,19904,10539,0.5294915594855305
2011,Legal noncitizen,85,19824,9885,0.49863801452784506
2011,Legal noncitizen,86,18824,9616,0.5108372290692733
2011,Legal noncitizen,87,12751,6793,0.5327425299976473
2011,Legal noncitizen,88,12266,8109,0.6610957117234633
2011,Legal noncitizen,89,7930,3459,0.43619167717528373
2011,Legal noncitizen,90,4890,2089,0.42719836400817995
2011,Legal noncitizen,91,831,151,0.18170878459687123
2011,Legal noncitizen,92,5204,2363,0.45407378939277476
2011,Legal noncitizen,93,19425,12222,0.6291891891891892
2011,Legal noncitizen,94,9515,4119,0.4328954282711508
2011,Legal noncitizen,95,258,0,0
2011,Native-born,0,3668735,1697787,0.4627717728317799
2011,Native-born,1,3838560,1753139,0.4567178837897545
2011,Native-born,2,4015077,1779447,0.44319125137575194
2011,Native-born,3,4094821,1781388,0.4350344007711204
2011,Native-born,4,4176795,1769461,0.42364085381255245
2011,Native-born,5,4029585,1648707,0.409150570095928
2011,Native-born,6,4005649,1562774,0.39014252122440085
2011,Native-born,7,3985014,1522115,0.38195976224926687
2011,Native-born,8,3890406,1439670,0.37005649281848735
2011,Native-born,9,3928140,1420126,0.3615263203449979
2011,Native-born,10,4026396,1416539,0.35181313512133433
2011,Native-born,11,3985709,1365091,0.3424964040274892
2011,Native-born,12,3926986,1316596,0.33526882958075227
2011,Native-born,13,3882939,1264614,0.32568474549819093
2011,Native-born,14,3921544,1209916,0.30853051757165034
2011,Native-born,15,3921903,1181465,0.301247889098736
2011,Native-born,16,3942865,1160859,0.2944201741626964
2011,Native-born,17,3983639,1127856,0.2831220399237983
2011,Native-born,18,4318554,1018005,0.23572820902552105
2011,Native-born,19,4004497,527670,0.13176935829893244
2011,Native-born,20,4357118,580267,0.1331767925495706
2011,Native-born,21,4227628,475041,0.11236584675851329
2011,Native-born,22,3853203,474581,0.1231653250555447
2011,Native-born,23,3651504,448114,0.12272039137845665
2011,Native-born,24,3430142,443499,0.1292946472769932
