year,immig_status,coverage_type,n,population
2024,Naturalized citizen,Medicaid,1533,3710156.21
2024,Naturalized citizen,Medicare,1610,3680692.57
2024,Naturalized citizen,Other public,177,343134.61
2024,Naturalized citizen,Uninsured,833,1991382.71
2024,Undocumented,Direct purchase,705,1888689.2235276806
2024,Undocumented,Employer-sponsored,2452,6075509.342299831
2024,Undocumented,Medicaid,512,1282032.6884846536
2024,Undocumented,Other public,26,65865.37702292793
2024,Undocumented,Uninsured,2541,6225689.997918314
2025,Legal immigrant,Direct purchase,489,1297368.28
2025,Legal immigrant,Employer-sponsored,1438,3294122.83
2025,Legal immigrant,Medicaid,1694,4071863.01
2025,Legal immigrant,Medicare,533,1231367.93
2025,Legal immigrant,Other public,55,127980.68
2025,Legal immigrant,Uninsured,824,2006298.42
2025,Native-born,Direct purchase,11238,27290355.66
2025,Native-born,Employer-sponsored,64710,151791376.86
2025,Native-born,Medicaid,19352,44899755.75
2025,Native-born,Medicare,12136,29492770.5
2025,Native-born,Other public,3519,7492852.11
2025,Native-born,Uninsured,9427,23604335.83
2025,Naturalized citizen,Direct purchase,1132,2939760.2
2025,Naturalized citizen,Employer-sponsored,5253,12873873.75
2025,Naturalized citizen,Medicaid,1459,3613467.58
2025,Naturalized citizen,Medicare,1668,4025767.91
2025,Naturalized citizen,Other public,173,386050.25
2025,Naturalized citizen,Uninsured,775,1926201.1
2025,Undocumented,Direct purchase,716,1925258.3101477285
2025,Undocumented,Employer-sponsored,2672,6978383.5765473675
2025,Undocumented,Medicaid,433,1129777.8740349433
2025,Undocumented,Other public,25,58721.59741250124
2025,Undocumented,Uninsured,2404,6315608.951940329
