year,nh_occ_group,status,n,workers,group_total,share
2015,Office & administrative support,Legal immigrants,77,8010,103271.17484420947,0.07756278566679954
2015,Office & administrative support,Illegal immigrants,6,1035.1748442094733,103271.17484420947,0.010023850757688139
2015,Management,Native-born citizens,1026,95787,107885.73314390972,0.8878560418385338
2015,Management,Legal immigrants,107,10869,107885.73314390972,0.10074548027125835
2015,Management,Illegal immigrants,11,1229.7331439097193,107885.73314390972,0.01139847789020785
2015,All other occupations,Native-born citizens,1948,179107,197659.70063893765,0.906138172935779
2015,All other occupations,Legal immigrants,154,15670,197659.70063893765,0.07927766737147994
2015,All other occupations,Illegal immigrants,21,2882.7006389376465,197659.70063893765,0.014584159692740998
2016,Nursing/psych/home health aides,Native-born citizens,5609,609036,745915.6541720985,0.8164944609936856
2016,Nursing/psych/home health aides,Legal immigrants,955,114952,745915.6541720985,0.15410857696449168
2016,Nursing/psych/home health aides,Illegal immigrants,156,21927.65417209852,745915.6541720985,0.02939696204182269
2016,Registered nurses,Native-born citizens,2355,219738,272609,0.8060555594276051
2016,Registered nurses,Legal immigrants,478,52871,272609,0.1939444405723949
2016,Registered nurses,Illegal immigrants,0,0,272609,0
2016,LPNs/LVNs,Native-born citizens,2246,222703,263816,0.8441603238620857
2016,LPNs/LVNs,Legal immigrants,348,41113,263816,0.1558396761379143
2016,LPNs/LVNs,Illegal immigrants,0,0,263816,0
2016,Personal care aides,Native-born citizens,578,62710,82490.29086262827,0.7602106786655832
2016,Personal care aides,Legal immigrants,128,16633,82490.29086262827,0.20163585103244533
2016,Personal care aides,Illegal immigrants,27,3147.2908626282697,82490.29086262827,0.03815347030197139
2016,Other healthcare practitioners,Native-born citizens,842,83342,96565.11345895835,0.8630653143220468
2016,Other healthcare practitioners,Legal immigrants,123,12737,96565.11345895835,0.13190063723596637
2016,Other healthcare practitioners,Illegal immigrants,5,486.1134589583559,96565.11345895835,0.005034048441986883
2016,Other healthcare support,Native-born citizens,711,71057,82163.58789621368,0.8648234798333886
2016,Other healthcare support,Legal immigrants,78,9799,82163.58789621368,0.11926207521971621
2016,Other healthcare support,Illegal immigrants,8,1307.587896213678,82163.58789621368,0.015914444946895208
2016,Food preparation & serving,Native-born citizens,1334,133809,155569.1013500568,0.8601258144373227
2016,Food preparation & serving,Legal immigrants,145,17755,155569.1013500568,0.11412934731845141
2016,Food preparation & serving,Illegal immigrants,23,4005.101350056796,155569.1013500568,0.025744838244225892
2016,Building cleaning & maintenance,Native-born citizens,1115,113594,137240.0991691619,0.8277026954052564
2016,Building cleaning & maintenance,Legal immigrants,168,19910,137240.0991691619,0.14507421752485744
2016,Building cleaning & maintenance,Illegal immigrants,25,3736.0991691618847,137240.0991691619,0.027223087069886007
2016,Office & administrative support,Native-born citizens,1045,99268,110499.19134138661,0.8983595155308611
2016,Office & administrative support,Legal immigrants,88,10043,110499.19134138661,0.09088754295922591
2016,Office & administrative support,Illegal immigrants,13,1188.1913413866075,110499.19134138661,0.01075294150991293
2016,Management,Native-born citizens,969,89468,100011.0837305212,0.8945808470696165
2016,Management,Legal immigrants,76,8874,100011.0837305212,0.08873016538757743
2016,Management,Illegal immigrants,15,1669.0837305212078,100011.0837305212,0.016688987542806115
2016,All other occupations,Native-born citizens,1974,176566,201469.23626641405,0.8763918664312446
2016,All other occupations,Legal immigrants,185,22323,201469.23626641405,0.11080103550142538
2016,All other occupations,Illegal immigrants,18,2580.236266414045,201469.23626641405,0.012807098067330012
2017,Nursing/psych/home health aides,Native-born citizens,5314,577525,714603.906243712,0.8081749833075194
2017,Nursing/psych/home health aides,Legal immigrants,904,113170,714603.906243712,0.15836745225039947
2017,Nursing/psych/home health aides,Illegal immigrants,146,23908.9062437119,714603.906243712,0.03345756444208114
2017,Registered nurses,Native-born citizens,2313,212012,264522,0.8014909912975102
2017,Registered nurses,Legal immigrants,449,52510,264522,0.19850900870248978
2017,Registered nurses,Illegal immigrants,0,0,264522,0
