year,statefip,n,population
2011,27,1172,224664.28734803444
2011,28,410,49163.784385715415
2011,29,1232,159423.01298483062
2011,30,106,12004.768253667089
2011,31,394,71652.51087047375
2011,32,2569,318578.66263570124
2011,33,287,35217.78218324088
2011,34,7199,957078.6270056312
2011,35,1076,145300.86822488037
2011,36,15786,2125070.2113977214
2011,37,3585,498002.02914939745
2011,38,86,12342.59432474165
2011,39,1859,243996.30710353944
2011,40,948,143522.35084443665
2011,41,1793,238371.67512598317
2011,42,2597,382286.78906800336
2011,44,559,71442.77005416085
2011,45,1104,156598.9788788069
2011,46,119,16197.467129845405
2011,47,1388,207207.50446381985
2011,48,22106,2940629.8676714436
2011,49,1050,161630.98194686015
2011,50,95,10059.065850093719
2011,51,3496,507906.42076724477
2011,53,3921,526453.0326655409
2011,54,141,13614.980268583322
2011,55,922,158756.82158901717
2011,56,105,12120.70870918353
2012,1,727,110783.39517938066
2012,2,154,24417.639872903044
2012,4,4723,557202.0833212705
2012,5,562,89427.71265598983
2012,6,47553,5556448.225928611
2012,8,2258,320915.5379102875
2012,9,2136,269523.87198530184
2012,10,304,42672.05645472463
2012,11,459,57398.00738363722
2012,12,14720,1902910.4352834106
2012,13,4199,616152.6151468215
2012,15,1040,112655.1791263597
2012,16,399,57286.469120942354
2012,17,6802,996997.2203366186
2012,18,1486,206099.2822630887
2012,19,543,86725.59247560774
2012,20,865,123189.31163060358
2012,21,666,91285.81170144033
2012,22,808,102826.84062640219
2012,23,199,21899.001798315687
2012,24,3436,467521.4932258145
2012,25,4269,505935.66317486926
2012,26,2206,310988.80741241097
2012,27,1141,220100.08744418103
2012,28,318,38380.20531436741
2012,29,1029,138611.9823999227
2012,30,72,7316.783986931162
2012,31,486,83047.19384371693
2012,32,2407,306588.1710974646
2012,33,295,38919.91951913896
2012,34,7120,943411.5054195451
2012,35,934,132532.85426516505
2012,36,15908,2156803.0067862994
2012,37,3768,544035.1555257287
2012,38,73,13398.23883184866
2012,39,1680,234358.46923165824
2012,40,1046,153855.8030499522
2012,41,1618,226499.9173332305
2012,42,2554,388069.82346919784
2012,44,584,73662.97248645546
2012,45,1074,147609.74327476227
2012,46,107,13462.048992913118
2012,47,1383,189923.7196578275
2012,48,22237,2905130.1903539347
2012,49,1053,158497.55492572134
2012,50,97,10197.887178585044
2012,51,3892,520374.08768293296
2012,53,3855,504298.36945619714
2012,54,126,13364.829962894804
2012,55,939,157357.72460361858
2012,56,89,11117.216609366846
2013,1,674,104333.05693051312
2013,2,146,18471.35857074872
2013,4,4538,563894.3062847949
2013,5,605,96302.78238192029
2013,6,46270,5446798.669310758
2013,8,2348,316934.23070099315
2013,9,1983,264192.04970562016
2013,10,296,41414.97064989891
2013,11,463,62205.848657403745
2013,12,14391,1833035.1854072316
2013,13,4200,621982.2507855827
2013,15,938,107713.61894436374
2013,16,464,64461.79823094227
2013,17,6891,985627.9070186052
2013,18,1468,213990.38086693952
2013,19,562,102036.4756297456
2013,20,890,131573.48143703793
2013,21,708,95631.75700968465
2013,22,791,106856.06542271166
2013,23,153,18021.90041979178
2013,24,3280,435851.93425686617
2013,25,4214,517106.1962118218
2013,26,2245,312471.6927904287
2013,27,1021,203362.93581300878
2013,28,324,40916.57750834219
2013,29,1012,131470.00943437393
2013,30,82,8871.46669260178
2013,31,426,74457.38366459131
2013,32,2312,285830.67683335557
2013,33,254,33873.54613727838
2013,34,7173,949954.1856700747
2013,35,1052,148791.61676607173
2013,36,15364,2088632.6257128688
2013,37,3704,529652.995242664
2013,38,91,13963.631829947717
2013,39,1868,251288.52295717015
2013,40,1044,154091.47905105434
2013,41,1737,253758.6993871771
2013,42,2748,411943.3037952748
2013,44,519,70116.74517702042
2013,45,1096,145467.63603786918
2013,46,109,15869.907820893673
2013,47,1487,199304.76714875147
2013,48,22408,2979840.416155514
2013,49,1027,154800.31419598096
2013,50,112,12178.48047359853
2013,51,3583,506767.11847006273
2013,53,3888,527034.1940651233
2013,54,122,15071.552652033422
2013,55,969,167140.9467705848
2013,56,94,10625.904429678252
2014,1,726,106300.92846565705
2014,2,150,24471.75076101309
2014,4,4466,573918.9212942948
2014,5,622,107121.12370403096
2014,6,46136,5493888.112502845
2014,8,2257,326036.4313597316
2014,9,2045,269482.06449195213
2014,10,312,44109.949454397974
2014,11,470,59589.11537710041
2014,12,14385,1906423.0505762296
2014,13,4341,604214.0963457545
