year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2017,13,286,38143,286,38143,0,0
2017,15,140,17536,140,17536,0,0
2017,16,35,5740,35,5740,0,0
2017,17,943,136099,943,137554.7540894509,1455.7540894509002,1.0696287918727545
2017,18,176,27995,176,27995,0,0
2017,19,96,17070,96,17070,0,0
2017,20,56,7933,56,7933,0,0
2017,21,140,19309,140,19309,0,0
2017,22,119,14743,119,14743,0,0
2017,23,15,2359,15,2359,0,0
2017,24,534,67855,534,67855,0,0
2017,25,1369,201563,1369,201563,0,0
2017,26,469,74821,469,74821,0,0
2017,27,286,59413,286,59413,0,0
2017,28,18,1975,18,1975,0,0
2017,29,54,6991,54,6991,0,0
2017,30,13,1754,13,1754,0,0
2017,31,75,11423,75,11423,0,0
2017,32,242,27682,242,27682,0,0
2017,33,33,4478,33,4478,0,0
2017,34,1011,132553,1011,132553,0,0
2017,35,215,32268,215,32268,0,0
2017,36,5077,697689,5077,700828.0603800461,3139.0603800461395,0.4499225844245988
2017,37,332,45563,332,45563,0,0
2017,38,9,848,9,848,0,0
2017,39,267,36657,267,36657,0,0
2017,40,92,9838,92,9838,0,0
2017,41,281,42851,281,42851,0,0
2017,42,408,69727,408,69727,0,0
2017,44,120,16638,120,16638,0,0
2017,45,86,10038,86,10038,0,0
2017,46,9,1084,9,1084,0,0
2017,47,147,18388,147,18388,0,0
2017,48,2240,286333,2240,286333,0,0
2017,49,57,8178,57,8178,0,0
2017,50,19,4623,19,4623,0,0
2017,51,277,35653,277,35653,0,0
2017,53,713,97154,713,98827.58561087471,1673.5856108747103,1.7226111234480417
2017,54,19,2962,19,2962,0,0
2017,55,106,16493,106,16493,0,0
2017,56,3,284,3,284,0,0
2018,1,55,5774,55,5774,0,0
2018,2,24,3101,24,3101,0,0
2018,4,783,110651,783,110651,0,0
2018,5,59,7687,59,7687,0,0
2018,6,12422,1534895,12422,1540840.6407417872,5945.640741787152,0.38736465633070355
2018,8,290,45169,290,45169,0,0
2018,9,306,38925,306,39202.75758796849,277.7575879684882,0.7135711958085761
2018,10,62,8738,62,8738,0,0
2018,11,64,11399,64,11399,0,0
2018,12,1715,232559,1715,232559,0,0
2018,13,242,32852,242,32852,0,0
2018,15,151,18187,151,18187,0,0
2018,16,21,3707,21,3707,0,0
2018,17,792,112519,792,113849.78421477218,1330.7842147721822,1.1827195538284043
2018,18,170,26762,170,26762,0,0
2018,19,110,19569,110,19569,0,0
